collect_time,cpu_util
2023/6/17 0:04,19.91
2023/6/17 0:10,16.8
2023/6/17 0:14,17.5
2023/6/17 0:20,16.06
2023/6/17 0:24,17.19
2023/6/17 0:30,16.24
2023/6/17 0:34,17.32
2023/6/17 0:40,16.67
2023/6/17 0:44,22.75
2023/6/17 0:50,21.06
2023/6/17 0:54,19.54
2023/6/17 0:59,18.58
2023/6/17 1:05,20.48
2023/6/17 1:10,21.24
2023/6/17 1:15,18.5
2023/6/17 1:20,17.67
2023/6/17 1:25,17.99
2023/6/17 1:30,19.46
2023/6/17 1:35,19.11
2023/6/17 1:40,21.35
2023/6/17 1:44,17.72
2023/6/17 1:50,18.05
2023/6/17 1:55,16.69
2023/6/17 2:00,17.82
2023/6/17 2:04,19.76
2023/6/17 2:10,17.84
2023/6/17 2:14,17.36
2023/6/17 2:20,19.07
2023/6/17 2:24,21.59
2023/6/17 2:30,20.7
2023/6/17 2:35,18.22
2023/6/17 2:39,20.24
2023/6/17 2:44,21.97
2023/6/17 2:49,20.44
2023/6/17 2:55,22.23
2023/6/17 3:00,22.42
2023/6/17 3:04,24.17
2023/6/17 3:09,20.86
2023/6/17 3:14,23.2
2023/6/17 3:20,23.34
2023/6/17 3:25,25.73
2023/6/17 3:29,22.51
2023/6/17 3:34,24.01
2023/6/17 3:40,22.26
2023/6/17 3:45,25.58
2023/6/17 3:50,24.44
2023/6/17 3:54,23.31
2023/6/17 4:00,20.33
2023/6/17 4:05,25.91
2023/6/17 4:09,27.16
2023/6/17 4:14,24.89
2023/6/17 4:20,26.54
2023/6/17 4:25,24.01
2023/6/17 4:29,24.48
2023/6/17 4:34,23.15
2023/6/17 4:39,19.23
2023/6/17 4:45,21.98
2023/6/17 4:50,20.97
2023/6/17 4:55,22.12
2023/6/17 4:59,21.13
2023/6/17 5:05,22.99
2023/6/17 5:09,21.6
2023/6/17 5:15,25.67
2023/6/17 5:19,25.36
2023/6/17 5:24,21.99
2023/6/17 5:29,19.16
2023/6/17 5:35,19.69
2023/6/17 5:40,20.35
2023/6/17 5:45,24.02
2023/6/17 5:49,25.07
2023/6/17 5:54,23.63
2023/6/17 6:00,20.49
2023/6/17 6:05,24.52
2023/6/17 6:10,19.81
2023/6/17 6:14,20.1
2023/6/17 6:20,20.57
2023/6/17 6:25,20.42
2023/6/17 6:30,18.87
2023/6/17 6:35,20.32
2023/6/17 6:39,21.13
2023/6/17 6:44,20.58
2023/6/17 6:49,22.19
2023/6/17 6:55,20.71
2023/6/17 7:00,20.07
2023/6/17 7:04,22.8
2023/6/17 7:10,20.4
2023/6/17 7:15,19.67
2023/6/17 7:20,19.61
2023/6/17 7:25,17.8
2023/6/17 7:30,17.23
2023/6/17 7:35,20.43
2023/6/17 7:39,16.69
2023/6/17 7:44,16.97
2023/6/17 7:50,16.35
2023/6/17 7:55,16
2023/6/17 8:00,16.48
2023/6/17 8:05,36.67
2023/6/17 8:10,14.1
2023/6/17 8:14,11.34
2023/6/17 8:19,11.46
2023/6/17 8:25,11.51
2023/6/17 8:30,11.45
2023/6/17 8:35,12.1
2023/6/17 8:40,11.05
2023/6/17 8:44,11.6
2023/6/17 8:49,10.98
2023/6/17 8:55,11.25
2023/6/17 8:59,11.04
2023/6/17 9:05,12.82
2023/6/17 9:10,11.98
2023/6/17 9:14,11.63
2023/6/17 9:19,11.82
2023/6/17 9:25,12.28
2023/6/17 9:30,11.37
2023/6/17 9:35,12.08
2023/6/17 9:39,10.92
2023/6/17 9:45,11.11
2023/6/17 9:50,10.91
2023/6/17 9:55,11.68
2023/6/17 9:59,10.87
2023/6/17 10:05,12.41
2023/6/17 10:09,11.41
2023/6/17 10:15,11.6
2023/6/17 10:20,11.76
2023/6/17 10:25,11.29
2023/6/17 10:30,10.53
2023/6/17 10:35,12.47
2023/6/17 10:40,11.04
2023/6/17 10:44,11.14
2023/6/17 10:50,11.21
2023/6/17 10:55,11.07
2023/6/17 11:00,10.63
2023/6/17 11:05,12.74
2023/6/17 11:10,11.26
2023/6/17 11:15,11.53
2023/6/17 11:19,11.44
2023/6/17 11:24,11.42
2023/6/17 11:30,10.88
2023/6/17 11:34,12.19
2023/6/17 11:40,11.13
2023/6/17 11:44,11.17
2023/6/17 11:49,10.99
2023/6/17 11:55,11.19
2023/6/17 12:00,10.7
2023/6/17 12:05,13.45
2023/6/17 12:10,11.39
2023/6/17 12:15,11.66
2023/6/17 12:19,10.93
2023/6/17 12:24,11.67
2023/6/17 12:29,11.06
2023/6/17 12:34,12.59
2023/6/17 12:39,11.8
2023/6/17 12:44,11.39
2023/6/17 12:50,10.98
2023/6/17 12:55,11.04
2023/6/17 13:00,10.64
2023/6/17 13:04,12.47
2023/6/17 13:09,11.09
2023/6/17 13:15,11.41
2023/6/17 13:20,11.54
2023/6/17 13:25,11.57
2023/6/17 13:29,11.26
2023/6/17 13:34,12.32
2023/6/17 13:39,10.93
2023/6/17 13:44,11.57
2023/6/17 13:50,10.74
2023/6/17 13:55,11.02
2023/6/17 14:00,10.54
2023/6/17 14:04,13
2023/6/17 14:09,11.39
2023/6/17 14:15,11.74
2023/6/17 14:19,11.07
2023/6/17 14:25,11.62
2023/6/17 14:30,10.75
2023/6/17 14:35,11.69
2023/6/17 14:40,11.02
2023/6/17 14:45,11.04
2023/6/17 14:50,10.92
2023/6/17 14:55,11.05
2023/6/17 15:00,10.47
2023/6/17 15:05,12.9
2023/6/17 15:10,10.84
2023/6/17 15:15,11.63
2023/6/17 15:19,11.51
2023/6/17 15:25,11.68
2023/6/17 15:30,11.18
2023/6/17 15:35,11.23
2023/6/17 15:40,10.79
2023/6/17 15:44,11.41
2023/6/17 15:49,10.69
2023/6/17 15:54,11.1
2023/6/17 15:59,10.66
2023/6/17 16:04,12.25
2023/6/17 16:10,11.42
2023/6/17 16:15,11.56
2023/6/17 16:20,11.17
2023/6/17 16:25,11.27
2023/6/17 16:29,10.62
2023/6/17 16:35,12.71
2023/6/17 16:40,11.44
2023/6/17 16:45,11.31
2023/6/17 16:50,10.77
2023/6/17 16:55,11.12
2023/6/17 17:00,10.79
2023/6/17 17:05,12.6
2023/6/17 17:09,11.04
2023/6/17 17:14,11.63
2023/6/17 17:20,11.25
2023/6/17 17:25,11.16
2023/6/17 17:30,10.59
2023/6/17 17:35,11.93
2023/6/17 17:39,10.51
2023/6/17 17:44,11.1
2023/6/17 17:50,10.85
2023/6/17 17:54,11.42
2023/6/17 18:00,10.91
2023/6/17 18:04,12.75
2023/6/17 18:09,12.09
2023/6/17 18:14,11.7
2023/6/17 18:19,11.28
